mSQI_t-1,mSQI_t0,mSQI_t1,PowerArm_t-1,PowerArm_t0,PowerArm_t1,PowerSternum_t-1,PowerSternum_t0,PowerSternum_t1
0,0,0,0.0436800064914827,0.0494211683520201,0.0517278160702409,0.0880033233432922,0.0781936109733891,0.018830819760375
0,0,0,0.0494211683520201,0.0517278160702409,0.0504221877786388,0.0781936109733891,0.018830819760375,0.0235696386120153
0,0,0,0.0517278160702409,0.0504221877786388,0.0347692965872876,0.018830819760375,0.0235696386120153,0.0838444883642345
0,0,0,0.0504221877786388,0.0347692965872876,0.0334664786051185,0.0235696386120153,0.0838444883642345,0.0563891165500457
0,0,0,0.0347692965872876,0.0334664786051185,0.0457881507312153,0.0838444883642345,0.0563891165500457,0.0830983374696051
0,0,0,0.0334664786051185,0.0457881507312153,0.0195929480014839,0.0563891165500457,0.0830983374696051,0.0337361794248718
0,0,0,0.0457881507312153,0.0195929480014839,0.0117393361853191,0.0830983374696051,0.0337361794248718,0.0153033460153685
0,0,0,0.0195929480014839,0.0117393361853191,0.00302461854291646,0.0337361794248718,0.0153033460153685,0.00767907613918572
0,0,0,0.0117393361853191,0.00302461854291646,0.0229300978356522,0.0153033460153685,0.00767907613918572,0.0188709876417643
0,0,0,0.00302461854291646,0.0229300978356522,0.016721868843384,0.00767907613918572,0.0188709876417643,0.0240707023178587
0,0,0,0.0229300978356522,0.016721868843384,0.016637200008448,0.0188709876417643,0.0240707023178587,0.0159428970515076
0,0,0.176443420764409,0.016721868843384,0.016637200008448,0.00439210077349595,0.0240707023178587,0.0159428970515076,0.00602064422004755
0,0.176443420764409,0.135970231829687,0.016637200008448,0.00439210077349595,0.00473011842262071,0.0159428970515076,0.00602064422004755,0.00714340041120896
0.176443420764409,0.135970231829687,0.702377944162808,0.00439210077349595,0.00473011842262071,0.00457173661808692,0.00602064422004755,0.00714340041120896,0.00734162682525433
0.135970231829687,0.702377944162808,0.182068575138687,0.00473011842262071,0.00457173661808692,0.00772021622664457,0.00714340041120896,0.00734162682525433,0.00841215788772287
