Type;mSQI_t-1;mSQI_t0;mSQI_t1;PowerArm_t-1;PowerArm_t0;PowerArm_t1;PowerSternum_t-1;PowerSternum_t0;PowerSternum_t1
0;0.543006969041344;0.21124380997137;0.983013537682492;0.0754065376597259;0.0551778274907962;0.0320322925260752;0.0169807526942241;0.0103497956134482;0.00650966194892212
0;0.21124380997137;0.983013537682492;0.922220198820906;0.0551778274907962;0.0320322925260752;0.0465513559307061;0.0103497956134482;0.00650966194892212;0.00896812753786864
0;0.983013537682492;0.922220198820906;0.856727225589388;0.0320322925260752;0.0465513559307061;0.0610292962846424;0.00650966194892212;0.00896812753786864;0.0125627501129446
0;0.922220198820906;0.856727225589388;0.975078060587324;0.0465513559307061;0.0610292962846424;0.028395879067995;0.00896812753786864;0.0125627501129446;0.010342233700652
0;0.856727225589388;0.975078060587324;0.988469312567846;0.0610292962846424;0.028395879067995;0.0339255041143768;0.0125627501129446;0.010342233700652;0.00775128057793633
0;0.975078060587324;0.988469312567846;0.952568966124214;0.028395879067995;0.0339255041143768;0.0272996036231959;0.010342233700652;0.00775128057793633;0.00884612549604973
0;0.988469312567846;0.952568966124214;0.983164939240835;0.0339255041143768;0.0272996036231959;0.0335348104537848;0.00775128057793633;0.00884612549604973;0.00576382196828533
0;0.952568966124214;0.983164939240835;0.987843376704618;0.0272996036231959;0.0335348104537848;0.0246701906696281;0.00884612549604973;0.00576382196828533;0.00457138314271902
0;0.983164939240835;0.987843376704618;0.982582472566176;0.0335348104537848;0.0246701906696281;0.0154249134842324;0.00576382196828533;0.00457138314271902;0.0046127511477498
0;0.987843376704618;0.982582472566176;0.964822242964215;0.0246701906696281;0.0154249134842324;0.0126115652566106;0.00457138314271902;0.0046127511477498;0.00460006744252763
0;0.982582472566176;0.964822242964215;0.977575168986319;0.0154249134842324;0.0126115652566106;0.00801354010042352;0.0046127511477498;0.00460006744252763;0.00448090630851719
0;0.964822242964215;0.977575168986319;0.970012975085434;0.0126115652566106;0.00801354010042352;0.0144402778676288;0.00460006744252763;0.00448090630851719;0.004371685985253
0;0.977575168986319;0.970012975085434;0.946170663665884;0.00801354010042352;0.0144402778676288;0.0156488496512043;0.00448090630851719;0.004371685985253;0.00586564029730377
0;0.970012975085434;0.946170663665884;0.196955672460616;0.0144402778676288;0.0156488496512043;0.0307491156936254;0.004371685985253;0.00586564029730377;0.0102247499041079
0;0.946170663665884;0.196955672460616;0.973014302867759;0.0156488496512043;0.0307491156936254;0.0267007068218924;0.00586564029730377;0.0102247499041079;0.00540830676837347
0;0.196955672460616;0.973014302867759;0.951823278433185;0.0307491156936254;0.0267007068218924;0.0305744463345063;0.0102247499041079;0.00540830676837347;0.00593935751467767
0;0.973014302867759;0.951823278433185;0.934753941653802;0.0267007068218924;0.0305744463345063;0.0393537285903598;0.00540830676837347;0.00593935751467767;0.0135746055885678
0;0.951823278433185;0.934753941653802;0.987244405246204;0.0305744463345063;0.0393537285903598;0.00875666324463534;0.00593935751467767;0.0135746055885678;0.00463687235485978
0;0.934753941653802;0.987244405246204;0.991223993747738;0.0393537285903598;0.00875666324463534;0.0129503908668173;0.0135746055885678;0.00463687235485978;0.00426726037586822
0;0.987244405246204;0.991223993747738;0.987817695925273;0.00875666324463534;0.0129503908668173;0.0219390394138488;0.00463687235485978;0.00426726037586822;0.00501858906985705
