Class;Type;mSQI_t-3;mSQI_t-2;mSQI_t-1;mSQI_t0;mSQI_t1;mSQI_t2;mSQI_t3;PowerArm_t-3;PowerArm_t-2;PowerArm_t-1;PowerArm_t0;PowerArm_t1;PowerArm_t2;PowerArm_t3;PowerSternum_t-3;PowerSternum_t-2;PowerSternum_t-1;PowerSternum_t0;PowerSternum_t1;PowerSternum_t2;PowerSternum_t3
0.93;1;0.934832267831003;0.940220085247989;0.939752509627786;0.927997347068333;0.935607555718047;0.943421923016061;0.937612555227524;0.00275866464741962;0.00293321403246688;0.00266443340374193;0.00270165693408331;0.00272258173489874;0.00275502139876225;0.00270494810364474;0.0039768461305578;0.00448787873361323;0.00372345447255715;0.00374077531341957;0.00373452849023879;0.00364895796043688;0.00373080053282723
0.93;1;0.940220085247989;0.939752509627786;0.927997347068333;0.935607555718047;0.943421923016061;0.937612555227524;0.937229749576609;0.00293321403246688;0.00266443340374193;0.00270165693408331;0.00272258173489874;0.00275502139876225;0.00270494810364474;0.00271926830776686;0.00448787873361323;0.00372345447255715;0.00374077531341957;0.00373452849023879;0.00364895796043688;0.00373080053282723;0.00368517942371655
0.93;1;0.939752509627786;0.927997347068333;0.935607555718047;0.943421923016061;0.937612555227524;0.937229749576609;0.937570673848837;0.00266443340374193;0.00270165693408331;0.00272258173489874;0.00275502139876225;0.00270494810364474;0.00271926830776686;0.00270667670477084;0.00372345447255715;0.00374077531341957;0.00373452849023879;0.00364895796043688;0.00373080053282723;0.00368517942371655;0.00368291686247356
0.93;1;0.927997347068333;0.935607555718047;0.943421923016061;0.937612555227524;0.937229749576609;0.937570673848837;0.937705252611388;0.00270165693408331;0.00272258173489874;0.00275502139876225;0.00270494810364474;0.00271926830776686;0.00270667670477084;0.0142075156965355;0.00374077531341957;0.00373452849023879;0.00364895796043688;0.00373080053282723;0.00368517942371655;0.00368291686247356;0.00596401504164728
0.93;1;0.935607555718047;0.943421923016061;0.937612555227524;0.937229749576609;0.937570673848837;0.937705252611388;0.146418953597228;0.00272258173489874;0.00275502139876225;0.00270494810364474;0.00271926830776686;0.00270667670477084;0.0142075156965355;0.0528499765277008;0.00373452849023879;0.00364895796043688;0.00373080053282723;0.00368517942371655;0.00368291686247356;0.00596401504164728;0.0358413321689744
0.93;1;0.943421923016061;0.937612555227524;0.937229749576609;0.937570673848837;0.937705252611388;0.146418953597228;0.616490228032715;0.00275502139876225;0.00270494810364474;0.00271926830776686;0.00270667670477084;0.0142075156965355;0.0528499765277008;0.0684925945584651;0.00364895796043688;0.00373080053282723;0.00368517942371655;0.00368291686247356;0.00596401504164728;0.0358413321689744;0.0598525812589744
0.93;1;0.937612555227524;0.937229749576609;0.937570673848837;0.937705252611388;0.146418953597228;0.616490228032715;0.67002512197402;0.00270494810364474;0.00271926830776686;0.00270667670477084;0.0142075156965355;0.0528499765277008;0.0684925945584651;0.110453631761882;0.00373080053282723;0.00368517942371655;0.00368291686247356;0.00596401504164728;0.0358413321689744;0.0598525812589744;0.0276755892798667
0.93;1;0.937229749576609;0.937570673848837;0.937705252611388;0.146418953597228;0.616490228032715;0.67002512197402;0.732113806558442;0.00271926830776686;0.00270667670477084;0.0142075156965355;0.0528499765277008;0.0684925945584651;0.110453631761882;0.0500616969147345;0.00368517942371655;0.00368291686247356;0.00596401504164728;0.0358413321689744;0.0598525812589744;0.0276755892798667;0.0414584637526188
0.93;1;0.937570673848837;0.937705252611388;0.146418953597228;0.616490228032715;0.67002512197402;0.732113806558442;0.188479279172106;0.00270667670477084;0.0142075156965355;0.0528499765277008;0.0684925945584651;0.110453631761882;0.0500616969147345;0.0487591394387949;0.00368291686247356;0.00596401504164728;0.0358413321689744;0.0598525812589744;0.0276755892798667;0.0414584637526188;0.0429471375169112
0.93;1;0.937705252611388;0.146418953597228;0.616490228032715;0.67002512197402;0.732113806558442;0.188479279172106;0.491191604909592;0.0142075156965355;0.0528499765277008;0.0684925945584651;0.110453631761882;0.0500616969147345;0.0487591394387949;0.0439313521684456;0.00596401504164728;0.0358413321689744;0.0598525812589744;0.0276755892798667;0.0414584637526188;0.0429471375169112;0.0456316582089078
0.93;1;0.146418953597228;0.616490228032715;0.67002512197402;0.732113806558442;0.188479279172106;0.491191604909592;0.494640364760877;0.0528499765277008;0.0684925945584651;0.110453631761882;0.0500616969147345;0.0487591394387949;0.0439313521684456;0.0410937892778937;0.0358413321689744;0.0598525812589744;0.0276755892798667;0.0414584637526188;0.0429471375169112;0.0456316582089078;0.0357647184111643
0.93;1;0.616490228032715;0.67002512197402;0.732113806558442;0.188479279172106;0.491191604909592;0.494640364760877;0.488655892673174;0.0684925945584651;0.110453631761882;0.0500616969147345;0.0487591394387949;0.0439313521684456;0.0410937892778937;0.0518781335213196;0.0598525812589744;0.0276755892798667;0.0414584637526188;0.0429471375169112;0.0456316582089078;0.0357647184111643;0.0465047829104907
0.93;1;0.67002512197402;0.732113806558442;0.188479279172106;0.491191604909592;0.494640364760877;0.488655892673174;0.484032664971104;0.110453631761882;0.0500616969147345;0.0487591394387949;0.0439313521684456;0.0410937892778937;0.0518781335213196;0.0416128141241322;0.0276755892798667;0.0414584637526188;0.0429471375169112;0.0456316582089078;0.0357647184111643;0.0465047829104907;0.0374252093425473
0.93;1;0.732113806558442;0.188479279172106;0.491191604909592;0.494640364760877;0.488655892673174;0.484032664971104;0.51244465010987;0.0500616969147345;0.0487591394387949;0.0439313521684456;0.0410937892778937;0.0518781335213196;0.0416128141241322;0.0339269232191255;0.0414584637526188;0.0429471375169112;0.0456316582089078;0.0357647184111643;0.0465047829104907;0.0374252093425473;0.0366458643198382
0.93;1;0.188479279172106;0.491191604909592;0.494640364760877;0.488655892673174;0.484032664971104;0.51244465010987;0.391166614837301;0.0487591394387949;0.0439313521684456;0.0410937892778937;0.0518781335213196;0.0416128141241322;0.0339269232191255;0.0363725940547578;0.0429471375169112;0.0456316582089078;0.0357647184111643;0.0465047829104907;0.0374252093425473;0.0366458643198382;0.0363340818014758
0.93;1;0.491191604909592;0.494640364760877;0.488655892673174;0.484032664971104;0.51244465010987;0.391166614837301;0.63627648726793;0.0439313521684456;0.0410937892778937;0.0518781335213196;0.0416128141241322;0.0339269232191255;0.0363725940547578;0.0345942133864755;0.0456316582089078;0.0357647184111643;0.0465047829104907;0.0374252093425473;0.0366458643198382;0.0363340818014758;0.0354129525181735
0.93;1;0.494640364760877;0.488655892673174;0.484032664971104;0.51244465010987;0.391166614837301;0.63627648726793;0.67864671375882;0.0410937892778937;0.0518781335213196;0.0416128141241322;0.0339269232191255;0.0363725940547578;0.0345942133864755;0.0330894306620416;0.0357647184111643;0.0465047829104907;0.0374252093425473;0.0366458643198382;0.0363340818014758;0.0354129525181735;0.0322435917516759
